,V,T,U
40695,1.1720829224740799,1625.447951807229,4802679.486435671
40696,1.1720829224740799,1632.382248995984,4818075.661865738
40697,1.1720829224740799,1639.316546184739,4833495.808112092
40698,1.1720829224740799,1646.250843373494,4848939.788454475
40699,1.1720829224740799,1653.185140562249,4864407.466571054
40700,1.1720829224740799,1660.1194377510042,4879898.706552976
40701,1.1720829224740799,1667.0537349397591,4895413.372918364
40702,1.1720829224740799,1673.988032128514,4910951.330625846
40703,1.1720829224740799,1680.922329317269,4926512.445087548
40704,1.1720829224740799,1687.8566265060242,4942096.582181632
40705,1.1720829224740799,1694.7909236947792,4957703.608264328
40706,1.1720829224740799,1701.7252208835341,4973333.390181525
40707,1.1720829224740799,1708.6595180722893,4988985.795279883
40708,1.1720829224740799,1715.5938152610443,5004660.691417521
40709,1.1720829224740799,1722.5281124497992,5020357.946974246
40710,1.1720829224740799,1729.4624096385544,5036077.43086138
40711,1.1720829224740799,1736.3967068273093,5051819.012531144
40712,1.1720829224740799,1743.3310040160643,5067582.561985667
40713,1.1720829224740799,1750.2653012048193,5083367.949785569
40714,1.1720829224740799,1757.1995983935744,5099175.047058168
40715,1.1720829224740799,1764.1338955823294,5115003.725505326
40716,1.1720829224740799,1771.0681927710843,5130853.857410887
40717,1.1720829224740799,1778.0024899598395,5146725.315647796
40718,1.1720829224740799,1784.9367871485945,5162617.973684841
40719,1.1720829224740799,1791.8710843373494,5178531.705593063
40720,1.1720829224740799,1798.8053815261044,5194466.386051831
40721,1.1720829224740799,1805.7396787148596,5210421.89035459
40722,1.1720829224740799,1812.6739759036145,5226398.094414295
40723,1.1720829224740799,1819.6082730923695,5242394.874768535
40724,1.1720829224740799,1826.5425702811247,5258412.108584356
40725,1.1720829224740799,1833.4768674698796,5274449.673662793
40726,1.1720829224740799,1840.4111646586346,5290507.448443114
40727,1.1720829224740799,1847.3454618473897,5306585.312006793
40728,1.1720829224740799,1854.2797590361447,5322683.144081207
40729,1.1720829224740799,1861.2140562248997,5338800.825043071
40730,1.1720829224740799,1868.1483534136546,5354938.235921629
40731,1.1720829224740799,1875.0826506024098,5371095.258401575
40732,1.1720829224740799,1882.0169477911647,5387271.774825751
40733,1.1720829224740799,1888.9512449799197,5403467.668197618
40734,1.1720829224740799,1895.8855421686749,5419682.822183461
40735,1.1720829224740799,1902.8198393574298,5435917.12111442
40736,1.1720829224740799,1909.7541365461848,5452170.44998828
40737,1.1720829224740799,1916.6884337349397,5468442.69447105
40738,1.1720829224740799,1923.622730923695,5484733.740898355
40739,1.1720829224740799,1930.5570281124499,5501043.47627662
40740,1.1720829224740799,1937.4913253012048,5517371.788284069
40741,1.1720829224740799,1944.42562248996,5533718.565271531
40742,1.1720829224740799,1951.359919678715,5550083.696263079
